WORD,COUNT
.,50706
the,36453
to,35796
:,31383
",",22924
in,19005
!,17630
rt,17591
for,17011
of,16543
a,15379
and,13102
on,12671
at,9034
&,8852
i,8481
is,8119
you,7652
"""",7642
with,7485
my,6189
this,6128
our,5936
today,5876
-,5362
…,5274
we,5098
...,4698
s,4615
be,4372
from,4273
’,4115
?,4058
will,4055
/,4036
great,3977
it,3649
your,3446
',3436
are,3422
that,3406
about,3349
by,3198
have,3145
w,3130
(,2721
out,2683
more,2643
new,2540
as,2428
here,2406
all,2360
),2308
day,2288
thanks,2286
us,2262
support,2241
$,2198
me,2120
who,2068
house,2056
was,2021
thank,1993
up,1986
time,1985
vote,1954
now,1870
has,1861
not,1843
if,1833
an,1806
his,1793
can,1778
help,1733
their,1703
join,1695
bill,1621
just,1553
get,1527
watch,1484
what,1476
congress,1450
work,1402
proud,1402
need,1399
so,1354
live,1332
morning,1329
do,1308
2,1296
see,1287
am,1282
tonight,1277
state,1264
people,1254
rep,1250
president,1246
act,1241
it's,1215
how,1208
